Inputs: a=0, b=0, c=0, d=0, e=0 => Outputs: x=0
Inputs: a=0, b=0, c=0, d=0, e=1 => Outputs: x=0
Inputs: a=0, b=0, c=0, d=1, e=0 => Outputs: x=0
Inputs: a=0, b=0, c=0, d=1, e=1 => Outputs: x=0
Inputs: a=0, b=0, c=1, d=0, e=0 => Outputs: x=0
Inputs: a=0, b=0, c=1, d=0, e=1 => Outputs: x=0
Inputs: a=0, b=0, c=1, d=1, e=0 => Outputs: x=0
Inputs: a=0, b=0, c=1, d=1, e=1 => Outputs: x=1
Inputs: a=0, b=1, c=0, d=0, e=0 => Outputs: x=0
Inputs: a=0, b=1, c=0, d=0, e=1 => Outputs: x=0
Inputs: a=0, b=1, c=0, d=1, e=0 => Outputs: x=0
Inputs: a=0, b=1, c=0, d=1, e=1 => Outputs: x=0
Inputs: a=0, b=1, c=1, d=0, e=0 => Outputs: x=0
Inputs: a=0, b=1, c=1, d=0, e=1 => Outputs: x=0
Inputs: a=0, b=1, c=1, d=1, e=0 => Outputs: x=0
Inputs: a=0, b=1, c=1, d=1, e=1 => Outputs: x=1
Inputs: a=1, b=0, c=0, d=0, e=0 => Outputs: x=0
Inputs: a=1, b=0, c=0, d=0, e=1 => Outputs: x=0
Inputs: a=1, b=0, c=0, d=1, e=0 => Outputs: x=0
Inputs: a=1, b=0, c=0, d=1, e=1 => Outputs: x=0
Inputs: a=1, b=0, c=1, d=0, e=0 => Outputs: x=0
Inputs: a=1, b=0, c=1, d=0, e=1 => Outputs: x=0
Inputs: a=1, b=0, c=1, d=1, e=0 => Outputs: x=0
Inputs: a=1, b=0, c=1, d=1, e=1 => Outputs: x=1
Inputs: a=1, b=1, c=0, d=0, e=0 => Outputs: x=0
Inputs: a=1, b=1, c=0, d=0, e=1 => Outputs: x=1
Inputs: a=1, b=1, c=0, d=1, e=0 => Outputs: x=0
Inputs: a=1, b=1, c=0, d=1, e=1 => Outputs: x=1
Inputs: a=1, b=1, c=1, d=0, e=0 => Outputs: x=0
Inputs: a=1, b=1, c=1, d=0, e=1 => Outputs: x=1
Inputs: a=1, b=1, c=1, d=1, e=0 => Outputs: x=0
Inputs: a=1, b=1, c=1, d=1, e=1 => Outputs: x=1
